Season,Rk,ID,Name,Age,TGTS,REC,YDS,TD,Cushion,TGT_SEP,True_Catch_Rate,Contested_TGTS,Contested_REC,Contested_Rate,Y/REC,Y/TGT,Y/ROUTE,Total_Drops,Drop_Rate
2018,35,18926,Z. Jones,27.2,102,56,652,7,,1.58,71.8,16,6,37.5,11.6,6.4,,5,4.9
2018,36,19844,D. Moore,25.2,82,55,788,2,,1.08,84.6,15,8,53.3,14.3,9.6,,2,2.4
2018,37,11197,D. Thomas,34.5,89,59,677,5,,1.25,79.7,12,8,66.7,11.5,7.6,,8,9
2018,38,18187,R. Anderson,29.1,93,50,752,6,,1.23,78.1,21,4,19,15,8.1,,2,2.2
2018,39,4556,J. Nelson,37,88,63,739,3,,1.31,87.5,16,7,43.8,11.7,8.4,,2,2.3
2018,40,16263,A. Robinson II,28.8,94,55,754,4,,0.97,85.9,24,10,41.7,13.7,8,,2,2.1
2018,41,16129,T. Gabriel,31.3,93,67,688,2,,1.77,93.1,15,7,46.7,10.3,7.4,,1,1.1
2018,42,3943,D. Jackson,35.5,75,41,774,4,,1.7,78.8,10,2,20,18.9,10.3,,2,2.7
2018,43,14141,C. Beasley,33.1,86,65,672,3,,1.83,92.9,8,5,62.5,10.3,7.8,,1,1.2
2018,44,12845,A. Green,33.9,77,46,694,6,,1.17,76.7,18,12,66.7,15.1,9,,6,7.8
2018,45,16640,J. Brown,32.2,97,42,715,5,,1.31,71.2,15,3,20,17,7.4,,6,6.2
2018,46,13460,D. Baldwin,33.7,73,50,618,5,,1.29,86.2,10,6,60,12.4,8.5,,1,1.4
2018,47,14587,J. Gordon,31.2,71,41,737,4,,1.08,75.9,11,4,36.4,18,10.4,,6,8.5
2018,48,15196,K. Stills,30.1,64,37,553,7,,1.03,74,9,5,55.6,14.9,8.6,,4,6.2
2018,49,17048,T. Williams,30.3,64,41,653,5,,1.45,87.2,16,11,68.8,15.9,10.2,,2,3.1
2018,50,18928,C. Samuel,25.8,65,39,494,5,,1.27,76.5,11,6,54.5,12.7,7.6,,4,6.2
2018,51,19800,C. Sutton,26.7,84,42,704,4,,1.12,68.9,23,8,34.8,16.8,8.4,,6,7.1
2018,52,18882,C. Kupp,29,56,40,566,6,,1.56,88.9,5,4,80,14.2,10.1,,3,5.4
2018,53,16141,W. Snead IV,29.6,95,62,651,1,,1.65,87.3,13,7,53.8,10.5,6.9,,4,4.2
2018,54,16232,D. Moncrief,28.8,90,48,668,3,,1.18,72.7,26,5,19.2,13.9,7.4,,5,5.6
2018,55,9331,M. Crabtree,34.7,100,54,607,3,,1.52,75,17,5,29.4,11.2,6.1,,8,8
2018,56,19917,A. Callaway,25.4,81,43,586,5,,1.45,78.2,15,7,46.7,13.6,7.2,,7,8.6
2018,57,9906,D. Amendola,36.6,79,59,575,1,,1.71,86.8,6,3,50,9.7,7.3,,3,3.8
2018,58,19815,C. Kirk,25.6,68,43,590,3,,1.46,89.6,9,3,33.3,13.7,8.7,,3,4.4
2018,59,16802,D. Funchess,28.1,79,44,549,4,,1.14,75.9,15,8,53.3,12.5,6.9,,11,13.9
2018,60,19864,A. Miller,27.7,54,33,423,7,,1.59,78.6,9,5,55.6,12.8,7.8,,3,5.6
2018,61,18089,R. Higgins,27.7,54,39,572,4,,1.67,92.9,4,3,75,14.7,10.6,,4,7.4
2018,62,13870,M. Jones Jr.,32.2,62,35,508,5,,1.68,72.9,9,3,33.3,14.5,8.2,,4,6.5
2018,63,16003,S. Watkins,29,55,40,519,3,,1.91,87,7,1,14.3,13,9.4,,1,1.8
2018,64,19318,K. Bourne,26.8,66,42,487,4,,1.42,84,11,6,54.5,11.6,7.4,,3,4.5
2018,65,18361,C. Rogers,28.4,72,53,485,2,,1.81,80.3,7,3,42.9,9.2,6.7,,6,8.3
2018,66,19976,M. Valdes-Scantling,27.7,72,38,581,2,,1.46,77.6,9,3,33.3,15.3,8.1,,3,4.2
2018,67,17939,J. Doctson,29.5,79,44,532,2,,1.16,80,19,12,63.2,12.1,6.7,,2,2.5
2018,68,16326,S. Roberts,31.3,65,45,494,2,,1.38,90,9,7,77.8,11,7.6,,4,6.2
2018,69,17916,W. Fuller V,28.1,45,32,503,4,,1.67,100,4,2,50,15.7,11.2,,0,0
2018,70,14828,C. Hogan,34.6,53,35,532,3,,1.41,87.5,9,4,44.4,15.2,10,,2,3.8
2018,71,19854,D. Pettis,26.6,45,27,467,5,,2.38,81.8,2,0,0,17.3,10.4,,2,4.4
2018,72,19120,D. Moore,27.4,52,26,445,5,,0.93,72.2,13,5,38.5,17.1,8.6,,2,3.8
2018,73,19897,T. Smith,26.4,44,28,427,5,,1,90.3,9,5,55.6,15.2,9.7,,2,4.5
2018,74,19017,J. Reynolds,27.3,53,29,402,5,,1.79,82.9,10,4,40,13.9,7.6,,0,0
2018,75,20250,R. Foster,28.1,44,27,541,3,,1.34,79.4,8,4,50,20,12.3,,2,4.5
2018,76,16308,A. Wilson,29.9,35,26,391,4,,1.83,83.9,7,4,57.1,15,11.2,,1,2.9
2018,77,19867,M. Gallup,26.3,68,33,507,2,,1.6,71.7,17,6,35.3,15.4,7.5,,1,1.5
2018,78,14465,J. Wright,32.5,60,43,447,1,,1.47,86,6,4,66.7,10.4,7.5,,2,3.3
2018,79,16837,C. Conley,29.6,52,32,334,5,,1.67,80,6,3,50,10.4,6.4,,4,7.7
2018,80,19514,K. Cole,29.1,70,38,491,1,,1.27,74.5,16,7,43.8,12.9,7,,7,10
2018,81,18971,T. Taylor,27.3,56,37,466,1,,1.38,82.2,9,4,44.4,12.6,8.3,,3,5.4
2018,82,14865,M. Goodwin,31.6,43,23,395,4,,1.88,76.7,8,4,50,17.2,9.2,,4,9.3
2018,83,16063,Q. Enunwa,30,69,38,449,1,,1.05,79.2,7,1,14.3,11.8,6.5,,3,4.3
